iter	Logloss
0	0.5966007614
1	0.5201401082
2	0.4541372476
3	0.3986503724
4	0.3506152746
5	0.3103229512
6	0.2716902796
7	0.2420129052
8	0.2205721286
9	0.1998673109
10	0.182140246
11	0.168698685
12	0.1576675774
13	0.1456781566
14	0.1356362161
15	0.1273806988
16	0.1213491685
17	0.1153574856
18	0.1111870538
19	0.1067465462
20	0.1038567975
21	0.1004094035
22	0.09706032032
23	0.09440110416
24	0.0926635198
25	0.09015142241
26	0.08824901866
27	0.0866785051
28	0.08470074407
29	0.08343129876
30	0.08258066908
31	0.0816315627
32	0.08044173915
33	0.0794208162
34	0.07868204376
35	0.07795400897
36	0.07727194377
37	0.07646104293
38	0.07599350658
39	0.07521729169
40	0.07472672506
41	0.07432484319
42	0.0738728973
43	0.07341688514
44	0.07302518547
45	0.07263997928
46	0.07216701726
47	0.07186732855
48	0.07154096058
49	0.07130798165
50	0.07101330498
51	0.07082980989
52	0.07033246506
53	0.07016787942
54	0.06992969819
55	0.06960241273
56	0.06936344714
57	0.06901716328
58	0.06884712297
59	0.06848210763
60	0.06820771627
61	0.06798824691
62	0.06781209243
63	0.06779044269
64	0.06756560822
65	0.06727613698
66	0.06716399476
67	0.06700513668
68	0.06678646432
69	0.06651584381
70	0.06630968004
71	0.06608960341
72	0.06579885126
73	0.06564585445
74	0.06545172969
75	0.0652466623
76	0.06503013715
77	0.06491159151
78	0.06482174915
79	0.06476156629
80	0.06467528492
81	0.06456958556
82	0.06442965228
83	0.06433666583
84	0.06411730859
85	0.06395448819
86	0.0637672502
87	0.06354236147
88	0.06349091041
89	0.06332898496
90	0.06317420437
91	0.06313376422
92	0.06310145578
93	0.0629033946
94	0.06280856811
95	0.06252409484
96	0.0624289465
97	0.06234204411
98	0.06223505913
99	0.0619615182
100	0.06194131868
101	0.06189060736
102	0.06181402642
103	0.06175418701
104	0.0617527536
105	0.06168863561
106	0.06157795272
107	0.06140503186
108	0.06124622581
109	0.06108230517
110	0.06099173413
111	0.06089836763
112	0.06080064563
113	0.0607100028
114	0.0605194809
115	0.06044119558
116	0.06036342611
